반복 0: 최적 이익=305.69, 평균 효율성=0.806
반복 1: 최적 이익=400.35, 평균 효율성=0.789
반복 2: 최적 이익=508.90, 평균 효율성=0.737
반복 3: 최적 이익=358.25, 평균 효율성=0.585
반복 4: 최적 이익=751.36, 평균 효율성=0.770
반복 5: 최적 이익=339.88, 평균 효율성=0.616
반복 6: 최적 이익=490.34, 평균 효율성=0.731
반복 7: 최적 이익=347.26, 평균 효율성=0.776
반복 8: 최적 이익=425.64, 평균 효율성=0.747
반복 9: 최적 이익=401.78, 평균 효율성=0.696
반복 10: 최적 이익=374.87, 평균 효율성=0.631
반복 11: 최적 이익=539.03, 평균 효율성=0.761
반복 12: 최적 이익=627.97, 평균 효율성=0.816
반복 13: 최적 이익=530.67, 평균 효율성=0.768
반복 14: 최적 이익=582.45, 평균 효율성=0.635
반복 15: 최적 이익=480.52, 평균 효율성=0.810
반복 16: 최적 이익=514.24, 평균 효율성=0.730
반복 17: 최적 이익=665.69, 평균 효율성=0.839
반복 18: 최적 이익=559.60, 평균 효율성=0.790
반복 19: 최적 이익=451.07, 평균 효율성=0.787
반복 20: 최적 이익=514.16, 평균 효율성=0.777
반복 21: 최적 이익=501.15, 평균 효율성=0.775
반복 22: 최적 이익=684.18, 평균 효율성=0.818
반복 23: 최적 이익=435.79, 평균 효율성=0.762
반복 24: 최적 이익=332.20, 평균 효율성=0.719
반복 25: 최적 이익=518.30, 평균 효율성=0.679
반복 26: 최적 이익=411.55, 평균 효율성=0.767
반복 27: 최적 이익=543.90, 평균 효율성=0.662
반복 28: 최적 이익=340.28, 평균 효율성=0.688
반복 29: 최적 이익=514.33, 평균 효율성=0.770
반복 30: 최적 이익=585.52, 평균 효율성=0.776
반복 31: 최적 이익=427.43, 평균 효율성=0.752
반복 32: 최적 이익=435.92, 평균 효율성=0.658
반복 33: 최적 이익=588.68, 평균 효율성=0.764
반복 34: 최적 이익=516.82, 평균 효율성=0.641
반복 35: 최적 이익=547.21, 평균 효율성=0.676
반복 36: 최적 이익=515.73, 평균 효율성=0.739
반복 37: 최적 이익=555.52, 평균 효율성=0.788
반복 38: 최적 이익=727.58, 평균 효율성=0.826
반복 39: 최적 이익=429.44, 평균 효율성=0.696
반복 40: 최적 이익=536.56, 평균 효율성=0.874
